timestamp_s,exec_time_ms
4.2155,0.03
4.2254,0.04
4.2356,0.04
4.2459,0.04
4.2559,0.04
4.2665,0.04
4.2764,0.04
4.2868,0.04
4.2969,0.04
4.3075,0.03
4.3175,0.03
4.3276,0.04
4.3379,0.04
4.3487,0.04
4.3583,0.04
4.3687,0.04
4.3788,0.04
4.389,0.04
4.3993,0.04
4.4096,0.04
4.4196,0.04
4.4299,0.04
4.4405,0.03
4.45,0.04
4.4606,0.04
4.4708,0.04
4.4809,0.04
4.4917,0.04
4.5014,0.04
4.5116,0.04
4.5218,0.04
4.532,0.04
4.5424,0.04
4.5526,0.04
4.5629,0.04
4.5735,0.04
4.5836,0.04
4.594,0.04
4.6045,0.03
4.6145,0.04
4.6249,0.04
4.6351,0.04
4.6456,0.04
4.6557,0.04
4.6661,0.04
4.6764,0.04
4.6867,0.04
4.697,0.04
4.7075,0.03
4.7176,0.04
4.7287,0.04
4.7385,0.04
4.7486,0.04
4.7589,0.04
4.7693,0.04
4.7798,0.04
4.7899,0.04
4.8002,0.04
4.8105,0.04
4.8208,0.04
4.8315,0.03
4.8419,0.04
4.8527,0.04
4.8622,0.04
4.8727,0.04
4.8828,0.04
4.893,0.04
4.9034,0.04
4.9136,0.04
4.9239,0.04
4.9342,0.04
4.9446,0.04
4.9547,0.04
4.965,0.04
4.9757,0.04
4.9856,0.04
4.996,0.04
5.0062,0.04
5.0166,0.04
5.0265,0.04
5.0377,0.04
5.047,0.04
5.0572,0.04
5.0674,0.04
5.0776,0.04
5.0877,0.04
5.098,0.04
5.1085,0.04
5.1186,0.04
5.1288,0.04
5.139,0.04
5.1491,0.04
5.1593,0.04
5.1695,0.04
5.1796,0.04
5.19,0.04
5.2,0.04
5.2105,0.03
5.2204,0.04
5.2306,0.04
5.2408,0.04
5.2509,0.04
5.2611,0.04
5.2714,0.04
5.2817,0.04
5.2917,0.04
5.3019,0.04
5.3122,0.04
5.322,0.04
5.3326,0.04
5.3426,0.04
5.3529,0.04
5.3631,0.04
5.3734,0.04
5.3836,0.04
5.3938,0.04
5.4044,0.27
5.4143,0.04
5.4243,0.04
5.4348,0.04
5.4449,0.04
5.455,0.04
5.465,0.04
5.4753,0.04
5.4856,0.04
5.4959,0.04
5.506,0.04
5.5163,0.04
5.5263,0.04
5.5368,0.04
5.5469,0.04
5.557,0.04
5.567,0.04
5.5775,0.04
5.5878,0.04
5.5979,0.04
5.6084,0.04
5.6186,0.04
5.629,0.04
5.6399,0.29
5.6496,0.04
5.6598,0.04
5.6704,0.04
5.6806,0.04
5.691,0.04
5.7013,0.04
5.7118,0.04
5.7221,0.04
5.7323,0.04
5.7427,0.04
5.7531,0.04
5.7633,0.04
5.7736,0.04
5.784,0.04
5.7944,0.04
5.8046,0.04
5.8149,0.04
5.8255,0.04
5.8356,0.04
5.846,0.04
5.8563,0.04
5.8664,0.04
5.8768,0.04
5.887,0.04
5.8976,0.04
5.9078,0.04
5.9183,0.04
5.9287,0.04
5.9388,0.04
5.9493,0.04
5.9596,0.04
5.9698,0.04
